theme,count
LEADER,15989305
USPEC_POLITICS_GENERAL1,15884940
EPU_ECONOMY_HISTORIC,15259062
GENERAL_GOVERNMENT,14967669
CRISISLEX_CRISISLEXREC,13397783
CRISISLEX_C07_SAFETY,13300149
USPEC_POLICY1,13060050
MANMADE_DISASTER_IMPLIED,12460545
EPU_POLICY_GOVERNMENT,12244624
UNGP_FORESTS_RIVERS_OCEANS,11711372
EDUCATION,10684289
TAX_FNCACT_PRESIDENT,9929493
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,9915929
WB_696_PUBLIC_SECTOR_MANAGEMENT,9540964
TAX_FNCACT_MINISTER,9434619
GENERAL_HEALTH,8691646
TAX_FNCACT_POLICE,8263448
TAX_ECON_PRICE,8110026
SECURITY_SERVICES,8009672
MEDIA_MSM,7999041
